Date,Item,Price,Type,Place,Payment
,city uni to saos,1.5,Transport,Bus,Https://i.imgur.com/ou6AWUc.png
,bolognese sauce & cookie,4.1,Food,Waitrose,Https://i.imgur.com/ou6AWUc.png
22/3/2018,banana cake & hot chocolate,5,Food,Department of coffee and social affairs,Https://i.imgur.com/ou6AWUc.png
,roast duck etc,17,Food,Gold Mine,Https://i.imgur.com/ou6AWUc.png
,chips,1,Food,Tesco,Https://i.imgur.com/ou6AWUc.png
,oyster topup,20,Transport,Oyster app,Https://i.imgur.com/4lbsp2C.png
23/3/2018,hot chocolate,2.5,Food,City Uni,Https://i.imgur.com/ou6AWUc.png
,curry rice,5,Food,City Uni,Https://i.imgur.com/ou6AWUc.png
24/3/2018,earl's gray,2.75,Food,look mum no hands,Https://i.imgur.com/ou6AWUc.png
,korean food,23.8,Food,Hozi,Https://i.imgur.com/ou6AWUc.png
,荷蘭餅乾,1.4,Food,Sainsbury's,Https://i.imgur.com/ou6AWUc.png
25/3/2018,smoothie,3.05,Food,Goswell Coffee,Https://i.imgur.com/ou6AWUc.png
,eat,3.5,Food,Goswell Coffee,Https://i.imgur.com/ou6AWUc.png
26/3/2018,hot chocolate,2.25,Food,City Uni,Https://i.imgur.com/ou6AWUc.png
,rissoto,3.25,Food,City Uni,Https://i.imgur.com/ou6AWUc.png
27/3/2018,hot chocolate,2.25,Food,City Uni,Https://i.imgur.com/ou6AWUc.png
28/3/2018,chip,0.8,Food,Vending machine @Pure City,Https://i.imgur.com/ou6AWUc.png
,hot chocolate,2.25,Food,City Uni,Https://i.imgur.com/ou6AWUc.png
29/3/2018,hot chocolate,2.25,Food,City Uni,Https://i.imgur.com/ou6AWUc.png
30/3/2018,evian water,0.6,Food,Tesco,Https://i.imgur.com/ou6AWUc.png
,hot chocolate,2.45,Food,Pret A Manger,Https://i.imgur.com/ou6AWUc.png
,coca cola,0.9,Food,vending machine @Pure City,Https://i.imgur.com/ou6AWUc.png
,steak & cheese sub,5,Food,Subway,Https://i.imgur.com/V63yFdj.png
31/3/2018,hot chocolate,3.1,Food,Starbucks,Https://i.imgur.com/ou6AWUc.png
,cookie,0.75,Food,Taylors of Oxford Deli,Https://i.imgur.com/ou6AWUc.png
,coca cola,4.2,Food,Tesco,Https://i.imgur.com/ou6AWUc.png
,train ticket,20,Transport,,Https://i.imgur.com/V63yFdj.png
,gelato,4.25,Food,George & Danver,Https://i.imgur.com/V63yFdj.png
,pizza,8.55,Food,Franco Manca Oxford,Https://i.imgur.com/V63yFdj.png
,oyster topup,20,Transport,oyster app,Https://i.imgur.com/4lbsp2C.png
,chips,0.8,Food,Vending machine @City uni,Https://i.imgur.com/ou6AWUc.png
